City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,victor harbor,-35.5667,138.6167,13.71,79,42,3.77,AU,1681757692
126,mahajanga,-15.7167,46.3167,28.01,78,20,1.54,MG,1681757693
127,xinyang,32.1228,114.0656,20.66,82,100,3.42,CN,1681757693
128,hilo,19.7297,-155.09,26.82,77,20,3.13,US,1681757645
129,bilibino,68.0546,166.4372,-16.72,93,100,1.61,RU,1681757693
130,bestobe,52.4994,73.0975,-5.58,54,0,4.36,KZ,1681757694
131,barroquinha,-3.0189,-41.1361,27.83,88,36,2.37,BR,1681757694
132,bahia honda,22.9036,-83.1592,26.91,61,72,5.65,CU,1681757694
133,vana-vigala,58.7806,24.2522,8.96,58,0,2.18,EE,1681757695
134,esperance,-33.8667,121.9,17.29,56,100,6.51,AU,1681757695
135,bahia blanca,-38.7196,-62.2724,15.46,74,66,4.02,AR,1681757695
136,heze,35.2431,115.4411,18.46,75,94,4.77,CN,1681757696
137,kavieng,-2.5744,150.7967,27.55,75,12,1.98,PG,1681757696
138,mitsamiouli,-11.3847,43.2844,28.34,74,100,2.32,KM,1681757696
139,cabo san lucas,22.8909,-109.9124,30.34,37,5,3.02,MX,1681757571
140,gizo,-8.103,156.8419,27.64,68,100,4.07,SB,1681757697
141,artvin,41.1667,41.8333,14.5,73,98,1.52,TR,1681757697
142,saint-joseph,-21.3667,55.6167,24.21,82,100,3.03,RE,1681757431
143,axim,4.8699,-2.2405,27.7,82,8,4.59,GH,1681757698
144,kahului,20.8947,-156.47,26.58,72,0,0.89,US,1681757656
145,knysna,-34.0363,23.0471,17.46,69,0,0.93,ZA,1681757699
146,muntilan,-7.5811,110.2928,23.17,97,100,0.45,ID,1681757699
147,taos,36.4072,-105.5731,19.0,16,0,6.69,US,1681757699
148,victoria,22.2855,114.1577,26.29,88,0,2.68,HK,1681757569
149,aklavik,68.2191,-135.0107,-15.0,66,100,6.69,CA,1681757700
150,voh,-20.9667,164.7,24.1,94,99,2.94,NC,1681757700
151,dingzhou,38.5131,114.9956,12.06,53,0,2.03,CN,1681757701
152,kempele,64.9131,25.5034,1.05,84,0,2.06,FI,1681757701
153,cidreira,-30.1811,-50.2056,22.06,67,60,6.79,BR,1681757447
154,bluff,-46.6,168.3333,11.56,87,100,2.93,NZ,1681757651
155,ancud,-41.8697,-73.8203,11.05,62,100,4.34,CL,1681757702
156,jamestown,42.097,-79.2353,7.79,79,100,5.14,US,1681757703
157,ponta do sol,32.6667,-17.1,21.18,61,100,0.73,PT,1681757704
158,geraldton,-28.7667,114.6,14.23,88,100,4.63,AU,1681757704
159,bireun,5.203,96.7009,26.46,84,10,1.21,ID,1681757705
160,katherine,-14.4667,132.2667,17.18,77,57,3.6,AU,1681757705
161,asau,46.4333,26.4,6.51,95,99,1.97,RO,1681757487
162,westport,41.1415,-73.3579,16.65,92,100,0.45,US,1681757706
163,price,39.5994,-110.8107,18.4,20,0,2.06,US,1681757707
164,wyndham,37.6985,-77.6125,21.46,35,20,6.17,US,1681757707
165,lompoc,34.6391,-120.4579,17.56,76,75,9.26,US,1681757405
166,makakilo city,21.3469,-158.0858,26.18,73,0,2.06,US,1681757708
167,codrington,-38.2667,141.9667,14.68,82,95,5.65,AU,1681757709
168,ribeira grande,38.5167,-28.7,16.54,55,20,6.69,PT,1681757709
169,kavaratti,10.5669,72.642,29.02,75,4,3.34,IN,1681757711
170,dalbandin,28.8947,64.4101,23.0,35,100,4.37,PK,1681757712
171,damietta,31.4165,31.8133,20.94,76,67,2.72,EG,1681757522
172,arica,-18.475,-70.3042,26.75,64,75,5.66,CL,1681757207
173,tiksi,71.6872,128.8694,-17.85,100,100,1.88,RU,1681757713
174,nabire,-3.3667,135.4833,23.18,93,100,1.09,ID,1681757714
